연번,구,유형,주소,세부위치,위도,경도
69,도봉구,일반쓰레기,방학동 679 ,사계공원 봄 ,37.66317787,127.0419389
70,도봉구,일반쓰레기,방학동 709  ,사계공원 가을 ,37.66320297,127.043073
71,도봉구,일반쓰레기,도봉로 686 ,녹산교회 앞,37.66564927,127.0432775
72,도봉구,일반쓰레기,도봉로 720 ,도봉병원 앞,37.66875973,127.043802
73,도봉구,일반쓰레기,마들로 657 ,도봉구청 맞은편,37.668355,127.0457569
74,도봉구,일반쓰레기,도봉로150길 42 ,삼성래미안 2단지 앞,37.66573931,127.0458918
75,도봉구,일반쓰레기,방학로 56 ,청송식당 앞,37.66295309,127.0461682
76,도봉구,일반쓰레기,방학로 32-28 ,창도초교 중랑천변,37.66414272,127.0487886
77,도봉구,일반쓰레기,마들로 656 ,도봉구청 앞,37.66871632,127.0471316
78,도봉구,일반쓰레기,마들로 598 ,문화고등학교 앞,37.66412628,127.047156
79,도봉구,일반쓰레기,마들로 624 ,대상타운 현대상가 앞,37.6657829,127.0466796
80,도봉구,일반쓰레기,방학로 158 ,연세치과 앞,37.6627261,127.03448
81,도봉구,일반쓰레기,방학로 180 ,방학2동 어린이집 앞,37.66248404,127.0319603
82,도봉구,일반쓰레기,시루봉로 226 ,방학2동 주민센터 앞,37.66821414,127.0350517
83,도봉구,일반쓰레기,시루봉로 221 ,방학2동 주민센터 맞은편,37.66826495,127.0345191
84,도봉구,일반쓰레기,시루봉로 251,방학2동 공영주차장,37.66992373,127.0371898
85,도봉구,일반쓰레기,시루봉로 145,천주교 방학동 성당,37.663923,127.0280417
86,도봉구,일반쓰레기,방학동 산87-19,우이그린빌라 앞,37.65729237,127.0188897
87,도봉구,일반쓰레기,해등로 286-5,우성아파트 101동 옆,37.65821714,127.0248644
88,도봉구,일반쓰레기,방학동 567-8 ,정의공주묘 맞은편,37.66160528,127.0232742
89,도봉구,일반쓰레기,방학동 498-18 , 방학3동 주민센터 맞은편,37.65868423,127.0275359
90,도봉구,일반쓰레기,해등로 307 ,우성2차 201동 앞,37.65690459,127.0220682
91,도봉구,일반쓰레기,해등로 307 ,우성2차 202동 앞,37.65690459,127.0220682
92,도봉구,일반쓰레기,시루봉로 94 ,방학3동 주민센터 앞,37.65917284,127.0280094
93,도봉구,일반쓰레기,방학로 193,신동아 1차 11동 앞,37.66001475,127.0289295
94,도봉구,일반쓰레기,방학로 187 ,부동산 씨티 앞,37.66193189,127.0313734
95,도봉구,일반쓰레기,방학로 161 ,한국 SGI 앞,37.66208542,127.0342934
96,도봉구,일반쓰레기,방학로 210 ,신동아타워 앞,37.66230236,127.0287761
97,도봉구,일반쓰레기,시루봉로 156,신방학중학교 앞,37.66390745,127.0297914
98,도봉구,일반쓰레기,방학로12길 53 ,천주교성당 맞은편,37.66353835,127.0287733
99,도봉구,일반쓰레기,시루봉로 173 ,신방학초교 앞,37.6666947,127.0289248
100,도봉구,일반쓰레기,도봉로110길 25,KT 도봉빌딩,37.64638815,127.0350092
101,도봉구,일반쓰레기,도봉로 460-1 ,창경빌딩 앞,37.64676303,127.0340774
102,도봉구,일반쓰레기,도봉로 468 ,신한은행 앞,37.64738612,127.0343725
103,도봉구,일반쓰레기,덕릉로 350 ,주공4단지 408동 앞,37.64436171,127.0481708
104,도봉구,일반쓰레기,해등로 46 ,창1동 주민센터 앞,37.64824458,127.0433019
105,도봉구,일반쓰레기,해등로 50 ,등기소 맞은편,37.64956048,127.044759
106,도봉구,일반쓰레기,해등로 50 ,이마트교차로,37.64956048,127.044759
107,도봉구,일반쓰레기,노해로66길 84 ,창일초교 앞,37.64765735,127.0476265
108,도봉구,일반쓰레기,노해로66길 84 ,창일초교 앞,37.64765735,127.0476265
109,도봉구,일반쓰레기,노해로62길 7 ,창동고등학교 앞,37.6509897,127.0379584
110,도봉구,일반쓰레기,덕릉로 350 ,주공4단지 401동 앞,37.64436171,127.0481708
111,도봉구,일반쓰레기,창동 산 164 ,녹천역 1번출구 앞,37.64496911,127.050151
112,도봉구,일반쓰레기,도봉로110다길 5,창동한신아파트,37.64589794,127.0355649
113,도봉구,일반쓰레기,덕릉로 31,문화정보센터 앞,37.63431551,127.0169859
114,도봉구,일반쓰레기,도봉로 428 ,칠성사이다 앞,37.64395326,127.0324046
115,도봉구,일반쓰레기,덕릉로63길 38 ,창림초교 앞,37.64310875,127.0405824
116,도봉구,일반쓰레기,덕릉로63길 38 ,창림초교 앞,37.64310875,127.0405824
117,도봉구,일반쓰레기,덕릉로 253 ,열쇠가게 앞,37.64030215,127.039399
118,도봉구,일반쓰레기,덕릉로 219 ,양조장 앞,37.63806903,127.0368073
119,도봉구,일반쓰레기,우이천로20길 7 ,건영아파트 103동 앞,37.64190902,127.0337244
120,도봉구,일반쓰레기,우이천로20길 7 ,건영아파트 103동 맞은편,37.64190902,127.0337244
121,도봉구,일반쓰레기,덕릉로 230 ,신창동물병원 앞,37.63825178,127.0379934
122,도봉구,일반쓰레기,덕릉로 248-1 ,하나은행 맞은편,37.63961567,127.0393246
123,도봉구,일반쓰레기,창3동 504-21 ,공영주차장앞,37.63307637,127.0414282
124,도봉구,일반쓰레기,창3동 504-21 ,공영주차장앞,37.63307637,127.0414282
125,도봉구,일반쓰레기,덕릉로 276 ,리싸이클씨티 앞,37.6416003,127.0411932
126,도봉구,일반쓰레기,도봉로136길 111 ,창동 아이파크현대2차 앞,37.65997409,127.0458646
