연번,구,유형,주소,세부 위치,위도,경도
2,관악구,폐형광등,은천로33길 5,관악동부센트레빌아파트 103동 뒤 분리수거장,,
2,관악구,폐형광등,관악로 285,성현동아아파트 103동,,
2,관악구,폐형광등,구암길 106,관악드림타운 145동,,
2,관악구,폐형광등,성현로 80,관악드림타운 144동,,
2,관악구,폐형광등,성현로 80,관악드림타운 121동,,
2,관악구,폐형광등,성현로 80,관악드림타운 105동,,
2,관악구,폐형광등,성현로 80,관악드림타운 102동,,
2,관악구,폐형광등,관악로 285,성현동아아파트 105동,,
2,관악구,폐형광등,관악로37길 15,동아타운 21,,
2,관악구,폐형광등,양녕로6나길 18,신봉아파트 정문 왼쪽,,
2,관악구,폐형광등,은천로 34길 24,에메랄드아파트 주변,,
2,관악구,폐형광등,양녕로 6다길 7,중앙동주민센터,,
2,관악구,폐형광등,은천로 174,중앙동성당 주차장 오른쪽,,
2,관악구,폐형광등,관악로30길 27,관악푸르지오아파트 119동,,
2,관악구,폐형광등,관악로30길 27,관악푸르지오아파트 107동,,
2,관악구,폐형광등,관악로 304,관악현대아파트 113동,,
2,관악구,폐형광등,관악로40길 39,청림동 주민센터,,
2,관악구,폐형광등,관악로 304,관악현대아파트 109동,,
2,관악구,폐형광등,관악로 304,관악현대아파트 116동,,
2,관악구,폐형광등,관악로30길 12,봉천우성아파트 104동,,
2,관악구,폐형광등,행운1길 43,행운동주민센터,,
2,관악구,폐형광등,관악로30길 12,봉천우성아파트 109동 임대,,
2,관악구,폐형광등,관악로30길 12,봉천우성아파트 106동,,
2,관악구,폐형광등,행운9길 34,행운동 경로당,,
2,관악구,폐형광등,청룡15길 30,관악그린빌라,,
2,관악구,폐형광등,관악로5길 42,갑을아파트 지하 주차장 입구,,
2,관악구,폐형광등,장군봉7길 12,비안 어린이공원,,
2,관악구,폐형광등,쑥고개로 44,청룡동주민센터 입구,,
2,관악구,폐형광등,쑥고개로 44,청룡동주민센터 지하주차장,,
2,관악구,폐형광등,청룡동 1531-41,장군봉 근린공원 입구,,
2,관악구,폐형광등,낙성대로 37,낙성대현대아파트 관리사무소,,
2,관악구,폐형광등,관악로 1,서울대가족생활관 933동 관리사무실,,
2,관악구,폐형광등,낙성대로 101,과학전시관,,
2,관악구,폐형광등,낙성대동 1510,탑골어린이공원 앞,,
2,관악구,폐형광등,인헌12길 46-1,은천2단지아파트 주차장,,
2,관악구,폐형광등,남부순환로246가길 20,인헌동 주민센터 주차장,,
2,관악구,폐형광등,인헌16길 70 ,반석아파트 건너편,,
2,관악구,폐형광등,남부순환로246가길 20,인헌동 주민센터 주차장,,
2,관악구,폐형광등,인헌12길 46-1,은천2단지 아파트 주차장,,
2,관악구,폐형광등,봉천로 611-1,동방전기철물,,
2,관악구,폐형광등,인헌1다길 25,,,
2,관악구,폐형광등,인헌9길 35,"인헌중, 인헌고 사이 도로",,
2,관악구,폐형광등,인헌21길 5,,,
2,관악구,폐형광등,남현길 63,상록보육원 내,,
2,관악구,폐형광등,승방6길 5,,,
2,관악구,폐형광등,남현1가길 29,남현동주민센터 앞,,
2,관악구,폐형광등,승방1길 2,굿마트 옆,,
2,관악구,폐형광등,남현길 144,흥화브라운빌아파트 내,,
2,관악구,폐형광등,신림동길 14,신림동 주민센터,,
2,관악구,폐형광등,신림동길 14,신림동 주민센터,,
2,관악구,폐형광등,관천로 24길 3,보라매갑을아파트,,
2,관악구,폐형광등,관천로27길 2,우방아파트 단지내,,
2,관악구,폐형광등,조원로 151-1,신사동 자치회관,,
2,관악구,폐형광등,신사로 142,신사동주민센터,,
2,관악구,폐형광등,조원로11길 24,조원아파트,,
2,관악구,폐형광등,조원로13길 15,현대아파트,,
2,관악구,폐형광등,조원로14길 16,윤정아파트,,
2,관악구,폐형광등,조원로2길 13,미성아파트,,
2,관악구,폐형광등,조원로16길 27,신림중앙시장,,
2,관악구,폐형광등,조원로16길 7,신도브레뉴아파트,,
2,관악구,폐형광등,조원로12길 25,조원동주민센터,,
2,관악구,폐형광등,조원로13길 36,제창그로힐아파트,,
2,관악구,폐형광등,미성길 122,쌍용아파트 102동 분리수거장 내,,
2,관악구,폐형광등,미성5길 33,한양아파트 관리사무소 옆,,
2,관악구,폐형광등,미성5길 40,초원아파트 분리수거장 내,,
2,관악구,폐형광등,난곡로47길 9,한라타운아파트,,
2,관악구,폐형광등,난곡로 249,미성동주민센터,,
2,관악구,폐형광등,남부순환로 1430,신림푸르지오아파트 102동 앞,,
2,관악구,폐형광등,난곡로64가길 11,미성경로당 뒤,,
2,관악구,폐형광등,미성3길 16,동부센트레빌 103동,,
2,관악구,폐형광등,남부순환로 1430,신림푸르지오아파트 112동 앞,,
2,관악구,폐형광등,문성로 74,건영아파트 분리수거장,,
2,관악구,폐형광등,남부순환로144길 65,한별유치원,,
2,관악구,폐형광등,남부순환로 1430,"신림푸르지오아파트 106,107,111,119동",,
2,관악구,폐형광등,난곡로 167,임광아파트 101동,,
2,관악구,폐형광등,난곡로30길 40,난곡동주민센터,,
2,관악구,폐형광등,난곡동 645-1,무궁화놀이터,,
2,관악구,폐형광등,난곡동 610-298 앞,보명어린이 공원,,
2,관악구,폐형광등,난곡로26나길 37,길 건너편 주차장,,
2,관악구,폐형광등,난향길 9,난향초등학교 후문,,
2,관악구,폐형광등,난곡로 67,난향동주민센터,,
2,관악구,폐형광등,난향길 41,국화빌라 앞,,
2,관악구,폐형광등,난곡로 101 앞,보성운수 옆,,
2,관악구,폐형광등,신림로 282,서원동주민센터,,
2,관악구,폐형광등,문성로32길 18,신일경로당,,
2,관악구,폐형광등,남부순환로170길 4,신원동경로당 옆,,
2,관악구,폐형광등,신림동 98-402,서광어린이공원 앞,,
2,관악구,폐형광등,신림로28길 57,신성초등학교 북서측 외벽,,
2,관악구,폐형광등,신림로29길 6,서림동주민센터,,
2,관악구,폐형광등,신림로29길 8,신림현대아파트 104동 분리수거장,,
